C1_B2	C2_B1	OASH1_B2	OA4_B2	SH1_B1	OA3_B2	C4_B2	OA2_B2	OASH1_B1	C3_B1	OA4_B1	SH4_B2	OASH2_B2	C2_B2	OA2_B1	OASH4_B1	OA3_B1	SH2_B2	OASH2_B1	C1_B1	SH2_B1	OASH4_B2	SH4_B1	SH3_B2
Cluster-22148.115467	-1.36030393356624	-1.36030393356624	-0.0240205457018112	0.726479832575823	-1.36030393356624	1.4094678056832	-1.36030393356624	3.22700104384909	0.783415997528675	-1.36030393356624	2.79690150462624	1.06461815464444	-1.1461791282134	-1.36030393356624	1.08356789483152	-1.36030393356624	0.508777820133688	0.705957508702478	-1.36030393356624	-1.25730994024292	1.25511236369663	-1.09127078711101	1.81506098020919	-0.9751490366819
Cluster-22148.69967	-1.07590890602828	0.529111247034126	-1.07590890602828	0.817064909245051	-1.07590890602828	-0.0117158441007907	2.51971409889616	2.5795574176473	-0.0248849030038163	-1.07590890602828	2.66609730483845	-1.07590890602828	-1.07590890602828	-1.07590890602828	2.28571910658003	1.59877771389972	2.10328363335974	-1.07590890602828	-1.07590890602828	-1.07590890602828	-1.07590890602828	-1.07590890602828	-1.07590890602828	-1.07590890602828
Cluster-22148.238536	-1.03413222913239	-1.03413222913239	1.14091325697852	0.0154985385922071	-0.0370205084572203	1.78369565146156	-1.03413222913239	-1.03413222913239	1.76017965544961	-1.03413222913239	-1.03413222913239	0.677362677517694	2.40069612728752	-1.03413222913239	-1.03413222913239	-1.03413222913239	1.6120304280255	0.15173431617894	1.62419352196851	-1.03413222913239	1.04208479248465	-1.03413222913239	-0.339029243491915	-0.456884693539243
Cluster-22148.291121	1.59572549201447	0.671867846502246	-0.660983275569909	0.83471188705416	-0.660983275569909	-0.660983275569909	0.554384696633571	-0.660983275569909	-0.660983275569909	0.858558629008528	-0.223755536656999	-0.262632905223944	-0.660983275569909	-0.330998625811488	1.75315225741454	-0.660983275569909	-0.103205604174983	-0.660983275569909	-0.660983275569909	0.99894128283247	0.312811654082697	-0.660983275569909	0.25511114736845	-0.304839465344633
Cluster-12092.4	-0.554864475655222	0.607345560659085	0.0155984553708192	-0.554864475655222	1.3169791728541	-0.554864475655222	-0.554864475655222	-0.554864475655222	0.452331025748982	-0.554864475655222	-0.554864475655222	0.335776768308222	0.438628745403194	-0.435840372512947	-0.554864475655222	-0.554864475655222	-0.554864475655222	1.08483075774436	0.0839044687617281	-0.289427579606123	0.706967183096915	0.747893239982814	0.578041336356285	-0.094384005615211
Cluster-22148.182619	0.801406881736242	0.912609444055852	-0.688136053906232	-0.688136053906232	0.988131354359658	-0.688136053906232	1.28161307438243	-0.688136053906232	1.14293045669884	0.99847652290936	-0.688136053906232	-0.61637338460614	0.240897424739625	-0.504173219063636	-0.551944667619088	-0.559842652896414	-0.651105322961265	0.675875999652383	-0.56380791890403	0.594007174875267	-0.65532990882299	0.606411179989284	-0.688136053906232	-0.0109661150879866
Cluster-22148.77471	1.77745729857391	1.91901527212997	-1.03852792862713	-1.03852792862713	1.93691883701383	-1.03852792862713	1.73060905441604	-1.03852792862713	2.14543490621546	2.04859541502407	-1.03852792862713	-1.03852792862713	-1.03852792862713	0.369096746939477	-1.03852792862713	1.81885596569552	-1.03852792862713	-1.03852792862713	-1.03852792862713	-1.03852792862713	-1.03852792862713	-1.03852792862713	1.83193543339868	-1.03852792862713
Cluster-78672.0	0.704210978224625	-0.323650797129884	-0.323650797129884	-0.323650797129884	0.66911763363904	-0.323650797129884	-0.323650797129884	-0.323650797129884	-0.323650797129884	-0.323650797129884	-0.323650797129884	0.757006866215341	-0.323650797129884	-0.323650797129884	-0.323650797129884	-0.323650797129884	-0.323650797129884	0.0481868202005362	-0.323650797129884	0.111444354490213	0.991915433189064	0.561533069190467	0.927916823478363	0.0834299783206164
Cluster-22148.79555	-0.438811963796092	-0.438811963796092	0.990402266043493	-0.438811963796092	1.07417337101758	-0.438811963796092	-0.438811963796092	-0.438811963796092	-0.438811963796092	-0.438811963796092	-0.438811963796092	1.16098188832615	-0.438811963796092	-0.438811963796092	-0.438811963796092	-0.438811963796092	-0.438811963796092	0.822417945190954	0.822417945190954	0.851022501381417	1.04764499197264	-0.438811963796092	-0.0849241275111846	-0.101957324670627
Cluster-22148.140591	1.73171185783076	1.42274922571486	-1.06550868709313	-1.06550868709313	1.88924597782857	-1.06550868709313	2.13784910513275	-1.06550868709313	1.06311466132599	1.70405149778379	-1.06550868709313	-1.06550868709313	-1.06550868709313	-1.06550868709313	-1.06550868709313	-0.750522201624617	-1.06550868709313	1.70002605926984	-1.06550868709313	1.79306916181426	-0.436035490306183	1.28950757712642	-1.06550868709313	-0.758663186778849
Cluster-22148.251056	1.01546939783674	-0.178853912712876	0.428192460198957	-1.00423251660581	-0.132388868096489	-1.00423251660581	-1.00423251660581	-1.00423251660581	0.0913543913919168	0.901118382975151	-1.00423251660581	1.37732773816365	0.195518340110029	-0.541656628563603	-1.00423251660581	0.178459780910383	-1.00423251660581	-1.00423251660581	1.12603943791305	1.54099455161434	1.03103947336688	0.373724117204306	1.63175398713982	-1.00423251660581
Cluster-22148.51211	0.657898598446228	0.801494612196189	-0.89938894383208	0.553733502763733	1.31006442179687	0.55109651602904	1.12953376676393	1.35701790996217	-0.89938894383208	-0.89938894383208	-0.346520072820777	-0.89938894383208	-0.89938894383208	-0.286800537133362	1.23713058871848	-0.89938894383208	0.609546718032316	0.840459158867248	-0.89938894383208	-0.89938894383208	-0.89938894383208	-0.89938894383208	0.993196371360573	-0.413962116661838
Cluster-22148.105032	1.12567245987633	0.829272019392742	-0.641134691426588	-0.641134691426588	1.06991963038548	-0.641134691426588	0.405007090218133	-0.641134691426588	0.53454957930441	0.0663900994730202	-0.641134691426588	0.145461670464219	-0.641134691426588	-0.211384840626372	-0.641134691426588	-0.641134691426588	-0.641134691426588	1.48054386516166	-0.641134691426588	0.853536920220962	-0.358991462645089	1.50389055080998	-0.641134691426588	-0.391385976343019
Cluster-18340.0	-0.377078757725839	-0.377078757725839	0.0515996522223915	-0.00858975708073512	-0.377078757725839	0.285582497749255	0.00365069077770985	1.26076330259827	-0.377078757725839	-0.377078757725839	0.0157881585049611	-0.377078757725839	0.269083899432055	-0.377078757725839	1.57748981302716	-0.377078757725839	0.658545152004883	-0.377078757725839	0.264467271361685	0.523643169838276	-0.377078757725839	-0.377078757725839	-0.377078757725839	-0.377078757725839
Cluster-72126.0	1.06692859490029	1.28944420242483	-0.675508850475973	-0.675508850475973	1.20341262927388	-0.675508850475973	0.319432859700997	-0.675508850475973	-0.675508850475973	1.47764793758545	-0.675508850475973	-0.0876638412216958	-0.675508850475973	0.183665605390462	-0.675508850475973	-0.675508850475973	-0.675508850475973	-0.192144489762624	1.23560745590225	1.2719702954907	-0.0876638412216958	0.425468797248848	-0.675508850475973	-0.675508850475973
Cluster-22148.141088	-0.667443134700056	0.398129176893566	-0.667443134700056	0.367476849649104	-0.667443134700056	-0.256016888973591	1.44292010866036	1.94561697219606	-0.342056720040282	-0.667443134700056	1.62386572512891	-0.667443134700056	-0.667443134700056	-0.667443134700056	1.83514206774738	1.06677873152072	1.26234786301854	-0.667443134700056	-0.667443134700056	-0.667443134700056	-0.667443134700056	-0.667443134700056	-0.667443134700056	-0.667443134700056
Cluster-22148.169985	1.90335523563229	-0.496268263388643	-2.20290932069805	-0.789315238288877	-1.93507392860044	0.548554400467507	-2.04716008802011	3.17251246107334	0.480337975746527	2.52675220517724	3.58629825464929	-2.04586561055247	2.19994926186229	-0.359729430440878	3.12868842047462	-0.933876174242815	2.02506274033824	-2.07725821903653	-2.20290932069805	-2.05364995519843	-1.90307855887568	2.21750570825567	-1.58655162370136	-1.15537093193469
Cluster-22148.7672	-0.113603136909448	-0.311468528263186	-0.311468528263186	0.171895832450163	-0.311468528263186	0.522838174699721	-0.0874282540452562	0.509833511626343	-0.311468528263186	-0.311468528263186	0.887654113750415	-0.311468528263186	0.307709687795883	-0.311468528263186	0.607680835024488	-0.311468528263186	1.07534241820903	-0.311468528263186	0.0780982834995393	0.0890694013205425	-0.311468528263186	-0.311468528263186	-0.311468528263186	-0.311468528263186
Cluster-22148.86782	1.46234917245916	1.89629097326699	-1.43469758977675	2.45924701823955	1.05356032303124	1.15769964542119	1.81596086472165	-1.43469758977675	-1.43469758977675	1.25839902060904	-1.43469758977675	1.30255651454758	-1.43469758977675	1.39819242438799	-1.43469758977675	-1.43469758977675	1.38026292323895	1.17482100063455	-1.43469758977675	-1.43469758977675	-0.944127459330551	-1.43469758977675	-1.43469758977675	0.366461066316946
Cluster-22148.261357	-0.50274158678599	-0.50274158678599	1.61162543816601	-0.50274158678599	-0.50274158678599	-0.50274158678599	-0.122012138282442	-0.50274158678599	0.996019878885862	-0.50274158678599	-0.50274158678599	-0.50274158678599	0.512327734931658	-0.50274158678599	-0.50274158678599	0.178032838706471	-0.50274158678599	0.754269031420034	1.24314110211627	0.602936491108547	-0.50274158678599	0.583362784457301	0.678679053494152	-0.50274158678599
Cluster-22148.67360	-0.785150534225976	-0.785150534225976	0.954265559175053	0.41522826375805	-0.785150534225976	0.0426684903913437	0.593361089027754	1.0716360120621	0.457299539451726	-0.610105048115062	1.07997646085472	-0.785150534225976	0.927225138654697	0.64191922098481	-0.130714993380577	0.52983595124254	1.0259094135141	-0.64371774329668	-0.785150534225976	0.711567453709201	-0.785150534225976	-0.785150534225976	-0.785150534225976	-0.785150534225976
Cluster-22148.286121	-0.927271909871104	0.753502515621357	1.17067592566373	-0.927271909871104	-0.406221172970141	-0.927271909871104	-0.927271909871104	-0.927271909871104	1.36492086403079	1.45926316031365	-0.927271909871104	-0.927271909871104	-0.106786566884725	1.16459714543075	-0.927271909871104	-0.467840291233807	-0.927271909871104	-0.927271909871104	1.81624305817896	1.25383064088269	0.936666540552867	0.704530845053025	-0.927271909871104	0.556608343943
Cluster-22148.197874	-0.51853243274791	-0.51853243274791	-0.51853243274791	-0.36148872260233	-0.51853243274791	0.318199647711225	-0.51853243274791	0.761830057225868	0.267227341679101	-0.51853243274791	0.447898034558388	0.566892223504767	0.204807687503261	-0.51853243274791	1.25123930650154	-0.51853243274791	0.684981978382848	-0.51853243274791	-0.51853243274791	-0.51853243274791	0.919227960792017	-0.41151418286579	0.622246223034885	0.432309204801238
Cluster-90194.0	-0.430640641114833	-0.430640641114833	-0.430640641114833	0.0298398289251777	0.604983268615888	0.0298398289251777	-0.430640641114833	0.634242210470021	-0.430640641114833	-0.430640641114833	0.716014581004632	0.0496244809396297	0.866844274595742	-0.430640641114833	0.438046124207302	0.00978007964193395	0.499907478133022	-0.0388729211588364	-0.430640641114833	-0.430640641114833	-0.430640641114833	0.104416953780009	0.36263101338325	-0.000890790314617085
Cluster-22148.269542	0.687454213255433	1.00049199903188	-0.348873278562332	-0.348873278562332	0.135522683940334	-0.348873278562332	0.86026811927626	-0.348873278562332	0.181197463662752	0.957388961165519	-0.348873278562332	-0.348873278562332	-0.348873278562332	0.0340705910066585	-0.348873278562332	-0.348873278562332	-0.348873278562332	0.324683145427813	-0.348873278562332	0.159048186394996	-0.348873278562332	0.544100536711002	-0.348873278562332	-0.348873278562332
Cluster-22148.153545	1.9242624110331	-1.13353441292784	1.06307263116698	-1.13353441292784	1.5682364094512	-1.13353441292784	1.82047573124923	-1.13353441292784	-1.13353441292784	1.64866444271202	-1.13353441292784	-1.13353441292784	-0.543770925942863	0.257133272631827	-1.13353441292784	-1.13353441292784	-1.13353441292784	1.49547242049934	-0.134977829797509	-1.13353441292784	1.99657276573099	-0.0562914139953796	1.19731077669558	0.232717850771724
Cluster-22148.165258	0.824272203897285	1.23068513058438	-1.21249867425814	-1.23887408968244	1.50969012591556	-1.35523884637423	0.270031643000468	-1.18147177863752	1.0838523239789	1.36613381310259	-1.15863180227941	-1.35523884637423	1.26252979943017	-0.654799128233133	-0.928705708257552	-1.35523884637423	-1.08620569991899	-1.35523884637423	1.80681002197467	2.38698299785976	2.57587685338356	-1.35523884637423	1.1835476082881	-1.26303140827714
Cluster-22148.67611	-0.51220210369917	-0.51220210369917	0.682515359194429	-0.51220210369917	0.861306911818837	-0.51220210369917	-0.0124199835518585	-0.51220210369917	0.372200449284517	-0.51220210369917	-0.51220210369917	0.0396829997725546	1.06939017513684	-0.51220210369917	-0.51220210369917	0.0238507965410395	-0.51220210369917	-0.151556901238954	0.504294216197025	0.697563162274933	0.972193858803496	0.35015009583285	0.22505200062516	-0.51220210369917
Cluster-22148.40730	-0.392994116446383	0.0508045231911881	-0.53704048606309	0.220836173684807	-0.53704048606309	-0.327899088224498	1.11785327141023	1.21099130950932	-0.149677945227094	-0.502824770725177	1.4130546081106	-0.53704048606309	-0.53704048606309	-0.53704048606309	1.15538671202662	1.45934826038453	0.962741634084223	-0.480456957696722	-0.469401769187726	-0.53704048606309	-0.501416576332368	-0.53704048606309	-0.501416576332368	-0.505645289787555
Cluster-22148.63527	-0.579861191222925	-0.579861191222925	-0.280030429400554	1.38139169283528	-0.579861191222925	1.83994733771635	-0.579861191222925	1.08507668621883	1.13515355868797	-0.579861191222925	-0.306046946635888	-0.579861191222925	-0.330112476139356	2.05031126805815	-0.301281640764501	0.82286098562268	-0.0289605265754015	-0.579861191222925	-0.579861191222925	-0.109975214948461	-0.579861191222925	-0.579861191222925	-0.579861191222925	-0.579861191222925
