sample,pH_measured,pH_corrected_TRIS,over_pH,sed_type,bucket_ID
D53_SH2_pore,7.6844,7.6502,high,shells,SH2
D53_OASH1_pore,7.5393,7.5051,low,shells,OASH1
D53_OASH1_pore,7.5408,7.5066,low,shells,OASH1
D53_OA1_pore,7.0677,7.0335,low,sand,OA1
D53_OA1_pore,7.066,7.0318,low,sand,OA1
D53_SH1_pore,7.616,7.5818,high,shells,SH1
D53_SH1_pore,7.6261,7.5919,high,shells,SH1
D53_C1_pore,7.3422,7.308,high,sand,C1
D53_C1_pore,7.3448,7.3106,high,sand,C1
D53_OASH2_pore,7.5574,7.5232,low,shells,OASH2
D53_OASH2_pore,7.5597,7.5255,low,shells,OASH2
D46_C2_pore,7.2446,7.2104,high,sand,C2
D46_C2_pore,7.2364,7.2022,high,sand,C2
D60_OA2_pore,7.0705,7.0363,low,sand,OA2
D60_OA2_pore,7.0749,7.0407,low,sand,OA2
D46_SH2_pore,7.6775,7.6433,high,shells,SH2
D46_SH2_pore,7.6561,7.6219,high,shells,SH2
88_SH1_pore,7.6425,7.6083,high,shells,SH1
88_SH1_pore,7.637,7.6028,high,shells,SH1
88_SH2_pore,7.6527,7.6185,high,shells,SH2
88_SH2_pore,7.653,7.6188,high,shells,SH2
88_OA1_pore,7.6861,7.6519,low,sand,OA1
88_OA1_pore,7.1289,7.0947,low,sand,OA1
88_OASH2_pore,7.4326,7.3984,low,shells,OASH2
88_OASH2_pore,7.4995,7.4653,low,shells,OASH2
88_OA2_pore,7.4134,7.3792,low,sand,OA2
88_OA2_pore,7.0971,7.0629,low,sand,OA2
88_C1_pore,7.42,7.3858,high,sand,C1
88_C1_pore,7.267,7.2328,high,sand,C1
88_C2_pore,7.2664,7.2322,high,sand,C2
88_C2_pore,7.2216,7.1874,high,sand,C2
88_OASH1_pore,7.6855,7.6513,low,shells,OASH1
88_OASH1_pore,7.5135,7.4793,low,shells,OASH1
D46_OA1_pore,7.782,7.7478,low,sand,OA1
D46_OA1_pore,7.1746,7.1404,low,sand,OA1
D39_SH2_pore,7.1307,7.0965,high,shells,SH2
D39_SH2_pore,7.6646,7.6304,high,shells,SH2
D32_OASH2_pore,7.7717,7.7375,low,shells,OASH2
