Short name,Final corrected TA
D32_OASH2_pore,2466.357754
D32_OASH2_pore,2467.810484
D32_OASH2_pore,2455.765975
D32_SH1,2077.232932
D32_SH1,2076.230446
D32_SH1,2075.78035
D32_SH1_pore,2115.521213
D32_SH1_pore,2106.275543
D32_SH1_pore,2109.618208
D32_SH2,2106.417551
D32_SH2,2114.519275
D32_SH2,2120.738781
D32_SH2_pore,2206.377253
D32_SH2_pore,2205.928157
D32_SH2_pore,2203.212693
D32_sump,2088.482124
D32_sump,2098.838282
D32_sump,2094.300264
D32_sump,2084.668695
D32_sump,2082.280098
D32_sump,2079.066005
D39_C1,2121.80099
D39_C1,2127.127477
D39_C1,1978.497593
D39_C1_pore,2304.02812
D39_C1_pore,2318.386682
D39_C1_pore,2289.376113
D39_C2,1721.651312
D39_C2,1613.289196
D39_C2,1728.167812
D39_C2_pore,1957.378631
D39_C2_pore,2009.37909
D39_C2_pore,1998.67341
D39_OA1,2135.566304
D39_OA1,2132.934393
D39_OA1,2120.75658
D39_OA1_pore,2339.967643
D39_OA1_pore,2328.176262
D39_OA1_pore,2318.661693
D39_OA2,2015.051918
D39_OA2,2132.777731
D39_OA2,2115.325652
D39_OA2_pore,2439.478958
D39_OA2_pore,2377.232165
D39_OA2_pore,2433.473605
D39_OASH1,2137.414908
D39_OASH1,2137.185138
D39_OASH1,2134.260792
D39_OASH1_pore,2859.028607
D39_OASH1_pore,2815.779619
D39_OASH2,2136.621157
D39_OASH2,2104.923336
D39_OASH2,2124.370237
D39_OASH2_pore,2547.032225
D39_OASH2_pore,2551.512741
D39_OASH2_pore,2459.051188
D39_SH1,1849.9778
D39_SH1,2056.451698
D39_SH1,2052.707746
D39_SH1_pore,2252.503244
D39_SH1_pore,2212.756639
D39_SH1_pore,2267.195726
D39_SH2,2128.265883
D39_SH2,2127.587017
D39_SH2,2128.391212
D39_SH2_pore,2012.920666
D39_SH2_pore,2137.1794
D39_SH2_pore,1928.995426
D39_sump,2124.265796
D39_sump,2122.605185
D39_sump,2125.801077
D39_sumpOA,2131.98398
D39_sumpOA,2132.109309
D39_sumpOA,2086.938608
D4_C1,2243.660354
D4_C1,2246.043824
D4_C1,2251.320053
D4_C1_pore,2363.740399
D4_C1_pore,2351.130416
D4_C1_pore,2351.089673
D4_C2,2243.538125
D4_C2,2248.77361
D4_C2,2247.510575
D4_C2_pore,2215.751343
D4_C2_pore,2214.804067
D4_C2_pore,2212.980814
D4_OA1,2301.617386
D4_OA1,2295.302209
D4_OA1,2246.369769
D4_OA1_pore,2376.961529
D4_OA1_pore,2377.735647
D4_OA1_pore,2380.312647
D4_OA2,2292.725209
D4_OA2,2292.083506
D4_OA2,2293.336355
D4_OA2_pore,2481.630504
D4_OA2_pore,2535.941031
D4_OA2_pore,2532.579727
D4_OASH1,2292.613166
D4_OASH1,2298.398683
D4_OASH1,2294.110474
D4_OASH1_pore,3132.368807
D4_OASH1_pore,3139.15253
D4_OASH1_pore,3140.884111
D4_OASH2,2293.591
D4_OASH2,2292.103877
D4_OASH2,2286.19613
D4_OASH2_pore,2553.659313
D4_OASH2_pore,2549.383403
