Sample,pH measured,pH corrected TRIS
D81_OASH1_pore,7.4701,7.4359
D81_OASH2_pore,7.4714,7.4372
D81_OASH2_pore,7.4742,7.44
D81_OA1_pore,7.1402,7.106
D81_OA1_pore,7.1487,7.1145
D81_C1_pore,7.2861,7.2519
D81_C1_pore,7.2918,7.2576
D81_SH2_pore,7.6872,7.653
D81_SH2_pore,7.6902,7.656
D81_SH1_pore,7.6167,7.5825
D81_SH1_pore,7.6158,7.5816
D72_C2_pore,7.2388,7.2046
D72_C2_pore,7.2297,7.1955
D72_SH1_pore,7.6749,7.6407
D72_SH1_pore,7.6829,7.6487
D72_SH2_pore,7.6566,7.6224
D72_SH2_pore,7.659,7.6248
D72_C1_pore,7.2554,7.2212
D72_C1_pore,7.2525,7.2183
D72_OASH1_pore,7.4979,7.4637
D72_OASH1_pore,7.4994,7.4652
D72_OASH2_pore,7.5025,7.4683
D72_OASH2_pore,7.4981,7.4639
D74_C1,7.7988,7.7646
D74_C1,7.8035,7.7693
D74_C2,7.8038,7.7696
D74_C2,7.8311,7.7969
D74_OA1,7.4849,7.4507
D74_OA1,7.4968,7.4626
D74_OA2,7.5032,7.469
D74_OA2,7.5049,7.4707
D74_OASH1,7.5203,7.4861
D74_OASH1,7.524,7.4898
D74_OASH2,7.5188,7.4846
D74_OASH2,7.5225,7.4883
D74_SH1,7.8216,7.7874
D74_SH1,7.8255,7.7913
D74_SH2,7.8171,7.7829
D74_SH2,7.8194,7.7852
D46_C1_pore,7.2767,7.2425
D46_C1_pore,7.2758,7.2416
D46_SH1_pore,7.6726,7.6384
D46_SH1_pore,7.6773,7.6431
D53_SH2_pore,7.6763,7.6421
D53_SH2_pore,7.6844,7.6502
D53_OASH1_pore,7.5393,7.5051
D53_OASH1_pore,7.5408,7.5066
D53_OA1_pore,7.0677,7.0335
D53_OA1_pore,7.066,7.0318
D53_SH1_pore,7.616,7.5818
D53_SH1_pore,7.6261,7.5919
D53_C1_pore,7.3422,7.308
D53_C1_pore,7.3448,7.3106
D53_OASH2_pore,7.5574,7.5232
D53_OASH2_pore,7.5597,7.5255
D81_SH1,7.8016,7.7674
D81_SH1,7.8124,7.7782
D81_SH2,7.8131,7.7789
D81_SH2,7.8073,7.7731
D81_C1,7.8105,7.7763
D81_C1,7.8108,7.7766
D81_C2,7.8117,7.7775
D81_C2,7.8136,7.7794
D81_OA1,7.4825,7.4483
D81_OA1,7.4815,7.4473
D81_OA2,7.4634,7.4292
D81_OASH1,7.4772,7.443
D81_OASH2,7.4776,7.4434
D46_C2_pore,7.2446,7.2104
D46_C2_pore,7.2364,7.2022
D53_SH1,7.7705,7.7363
D53_SH1,7.7352,7.701
D60_OA2_pore,7.0705,7.0363
D60_OA2_pore,7.0749,7.0407
D53_C2,7.7828,7.7486
D53_C2,7.7871,7.7529
D46_SH2_pore,7.6775,7.6433
D46_SH2_pore,7.6561,7.6219
D53_OA2,7.4141,7.3799
D53_OA2,7.4108,7.3766
D53_C1,7.7733,7.7391
D53_C1,7.7676,7.7334
D53_sumpOA,7.4374,7.4032
D53_sumpOA,7.4185,7.3843
D53_OASH2,7.4021,7.3679
D53_OASH2,7.4153,7.3811
D53_OA1,7.4172,7.383
D53_OA1,7.4157,7.3815
D53_OASH1,7.4085,7.3743
D53_OASH1,7.4154,7.3812
D53_SH2,7.7717,7.7375
D53_SH2,7.7901,7.7559
D88_C1,7.6465,7.6123
D88_C1,7.6572,7.623
