Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D81_C2,D81_C2_over,D81_C2_pore,1766.497787,1765.71864,sand,C2,high
D81_C2,D81_C2_over.1,D81_C2_pore.1,1783.851511,1695.524597,sand,C2,high
D81_C2,D81_C2_over.2,D81_C2_pore.2,1782.981295,1660.412398,sand,C2,high
D81_OA1,D81_OA1_over,D81_OA1_pore,2067.562129,2189.038196,sand,OA1,low
D81_OA1,D81_OA1_over.1,D81_OA1_pore.1,2274.106859,2193.389276,sand,OA1,low
D81_OA1,D81_OA1_over.2,D81_OA1_pore.2,2165.704268,2072.419148,sand,OA1,low
D81_OA2,D81_OA2_over,D81_OA2_pore,2246.077812,2198.084394,sand,OA2,low
D81_OA2,D81_OA2_over.1,D81_OA2_pore.1,2236.303062,2156.870565,sand,OA2,low
D81_OA2,D81_OA2_over.2,D81_OA2_pore.2,2239.227392,2142.673903,sand,OA2,low
D81_OASH1,D81_OASH1_over,D81_OASH1_pore,2570.526677,2150.789172,shells,OASH1,low
D81_OASH1,D81_OASH1_over.1,D81_OASH1_pore.1,2488.534126,2195.787429,shells,OASH1,low
D81_OASH1,D81_OASH1_over.2,D81_OASH1_pore.2,2568.138643,2206.675246,shells,OASH1,low
D81_OASH2,D81_OASH2_over,D81_OASH2_pore,2560.64062,2204.236618,shells,OASH2,low
D81_OASH2,D81_OASH2_over.1,D81_OASH2_pore.1,2556.097284,2204.874102,shells,OASH2,low
D81_OASH2,D81_OASH2_over.2,D81_OASH2_pore.2,2538.581659,2123.05357,shells,OASH2,low
D81_SH1,D81_SH1_over,D81_SH1_pore,2033.562997,1756.10579,shells,SH1,high
D81_SH1,D81_SH1_over.1,D81_SH1_pore.1,1966.900412,1701.616109,shells,SH1,high
